"Site","BUFF_DIST","LC_class20","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230"
"LU21_68","1750","0.0517241379310345","0.0172413793103448","0.0172413793103448","0.120689655172414","0.189655172413793","0","0.206896551724138","0.310344827586207","0.0862068965517241"
"LU21_109","1750","0.0571428571428571","0","0","0.142857142857143","0.2","0","0.257142857142857","0.142857142857143","0.2"
"LU21_93","1750","0.176470588235294","0","0.0196078431372549","0.0588235294117647","0.0784313725490196","0","0.235294117647059","0.215686274509804","0.215686274509804"
"LU21_114","1750","0.0487804878048781","0","0.024390243902439","0.121951219512195","0.292682926829268","0","0.195121951219512","0.24390243902439","0.0731707317073171"
"LU21_105","1750","0.0606060606060606","0","0.0303030303030303","0.121212121212121","0.363636363636364","0","0.0606060606060606","0.303030303030303","0.0606060606060606"
"LU21_100","1750","0.170731707317073","0.024390243902439","0.024390243902439","0.195121951219512","0.170731707317073","0","0.121951219512195","0.121951219512195","0.170731707317073"
"LU21_74","1750","0.111111111111111","0","0.0277777777777778","0.222222222222222","0.0555555555555556","0","0.111111111111111","0.305555555555556","0.166666666666667"
"LU21_78","1750","0.0625","0","0.03125","0.1875","0.21875","0","0.15625","0.28125","0.0625"
"LU21_153","1750","0.0909090909090909","0","0.0303030303030303","0.121212121212121","0.181818181818182","0","0.151515151515152","0.212121212121212","0.212121212121212"
"LU21_06","1750","0.0344827586206897","0","0.0344827586206897","0.137931034482759","0.0344827586206897","0","0.275862068965517","0.448275862068966","0.0344827586206897"
"LU21_116","1750","0.027027027027027","0","0.027027027027027","0.108108108108108","0.243243243243243","0","0.162162162162162","0.27027027027027","0.162162162162162"
"LU21_97","1750","0.0769230769230769","0","0","0.269230769230769","0.346153846153846","0","0.0769230769230769","0.115384615384615","0.115384615384615"
"LU01_13","1750","0.0625","0","0","0.375","0","0","0.0625","0.1875","0.3125"
"LU01_30","1750","0.037037037037037","0","0","0.148148148148148","0.037037037037037","0","0.296296296296296","0.148148148148148","0.333333333333333"
"LU01_85","1750","0.027027027027027","0","0","0.243243243243243","0.0540540540540541","0","0.216216216216216","0.27027027027027","0.189189189189189"
"LU01_66","1750","0.0285714285714286","0","0","0.228571428571429","0","0","0.285714285714286","0.171428571428571","0.285714285714286"
"LU01_76","1750","0.03125","0","0","0.21875","0","0","0.28125","0.1875","0.28125"
"LU01_73","1750","0.0869565217391304","0","0","0.130434782608696","0","0","0.173913043478261","0.260869565217391","0.347826086956522"
"LU01_75","1750","0.05","0","0","0.2","0","0","0.2","0.3","0.25"
"LU01_47","1750","0.0434782608695652","0","0.0434782608695652","0.304347826086957","0.0869565217391304","0","0.217391304347826","0.173913043478261","0.130434782608696"
"LU01_74","1750","0.0833333333333333","0","0.0416666666666667","0.208333333333333","0.0416666666666667","0.0416666666666667","0.125","0.25","0.208333333333333"
"LU01_44","1750","0.0714285714285714","0","0","0.285714285714286","0.285714285714286","0","0.214285714285714","0.142857142857143","0"
"LU01_41","1750","0.0645161290322581","0","0.032258064516129","0.129032258064516","0.129032258064516","0.0967741935483871","0.129032258064516","0.258064516129032","0.161290322580645"
"LU01_64","1750","0.0666666666666667","0","0","0.4","0.0666666666666667","0","0.2","0.133333333333333","0.133333333333333"
"LU01_86","1750","0","0","0.0769230769230769","0.307692307692308","0.384615384615385","0","0.230769230769231","0","0"
"LU01_79","1750","0","0","0","0.538461538461538","0.153846153846154","0","0.153846153846154","0.0769230769230769","0.0769230769230769"
"LU01_63","1750","0","0","0","0.375","0.125","0","0.125","0.125","0.25"
"LU01_72","1750","0","0","0","0.476190476190476","0.0952380952380952","0","0.0476190476190476","0.19047619047619","0.19047619047619"
"LU01_67","1750","0.0952380952380952","0","0","0.142857142857143","0.0952380952380952","0","0.238095238095238","0.19047619047619","0.238095238095238"
"LU01_77","1750","0.0454545454545455","0","0","0.545454545454545","0.0454545454545455","0","0","0.181818181818182","0.181818181818182"
"LU01_32","1750","0.0869565217391304","0","0","0.217391304347826","0.0869565217391304","0","0.217391304347826","0.173913043478261","0.217391304347826"
"LU01_36","1750","0.0416666666666667","0","0","0.166666666666667","0.0416666666666667","0","0.125","0.291666666666667","0.333333333333333"
"LU01_84","1750","0","0","0.1","0.1","0","0","0.1","0.4","0.3"
"LU01_25","1750","0","0","0","0.631578947368421","0.0526315789473684","0","0","0.157894736842105","0.157894736842105"
"LU01_83","1750","0.111111111111111","0","0","0.148148148148148","0.0740740740740741","0","0.222222222222222","0.222222222222222","0.222222222222222"
"LU01_80","1750","0.0434782608695652","0","0","0.347826086956522","0.0434782608695652","0","0.0869565217391304","0.217391304347826","0.260869565217391"
"LU01_70","1750","0","0","0","0.0909090909090909","0.0454545454545455","0","0.272727272727273","0.227272727272727","0.363636363636364"
"LU01_48","1750","0","0","0.0555555555555556","0.0555555555555556","0.333333333333333","0","0.277777777777778","0.222222222222222","0.0555555555555556"
"LU01_45","1750","0","0","0","0.48","0.04","0","0.08","0.24","0.16"
"LU01_11","1750","0","0","0","0.25","0","0","0.25","0","0.5"
"LU01_40","1750","0","0","0.0625","0","0.125","0","0.125","0.375","0.3125"
"LU01_06","1750","0","0","0.0555555555555556","0.333333333333333","0.0555555555555556","0","0.166666666666667","0.277777777777778","0.111111111111111"
"LU01_10","1750","0.111111111111111","0","0","0.166666666666667","0.0555555555555556","0","0.166666666666667","0.222222222222222","0.277777777777778"
"LU01_43","1750","0.0357142857142857","0","0.0357142857142857","0.357142857142857","0.178571428571429","0","0.0714285714285714","0.285714285714286","0.0357142857142857"
"LU01_71","1750","0","0","0.0384615384615385","0.269230769230769","0.153846153846154","0","0.0769230769230769","0.307692307692308","0.153846153846154"
"LU01_22","1750","0","0","0.0357142857142857","0.321428571428571","0.0357142857142857","0","0.0714285714285714","0.25","0.285714285714286"
"LU01_60","1750","0.111111111111111","0","0.111111111111111","0.333333333333333","0","0","0","0.222222222222222","0.222222222222222"
"LU01_78","1750","0","0","0","0.428571428571429","0.142857142857143","0","0.142857142857143","0","0.285714285714286"
"LU01_46","1750","0.0303030303030303","0","0.0303030303030303","0.303030303030303","0.212121212121212","0","0.0909090909090909","0.272727272727273","0.0606060606060606"
"LU01_82","1750","0","0","0.0294117647058824","0.0294117647058824","0.176470588235294","0.382352941176471","0.0294117647058824","0.294117647058824","0.0588235294117647"
