Site,BUFF_DIST,LC_class20,LC_class32,LC_class33,LC_class34,LC_class50,LC_class110,LC_class120,LC_class210,LC_class220,LC_class230
LU21_10,250,0.519647615,0,0,0,0.031100191,0,0,0.285621252,0.163630943,0
LU21_16,250,0,0,0,0,0,0,0,1,0,0
LU21_107,250,0,0,0,0,0,0,0,1,0,0
LU21_41,250,0,0,0,0,0,0,0,1,0,0
LU21_63,250,0,0,0,0,0,0,0,0.471030477,0,0.528969523
LU21_27,250,0,0,0,0,0,0,0,1,0,0
LU21_23,250,0,0,0,0,0.086298767,0,0,0.913701233,0,0
LU21_21,250,0,0,0,0,0,0,0,1,0,0
LU21_82,250,0,0,0,0,0.597066607,0.109595539,0,0.103179553,0.180960753,0.009197547
LU21_871,250,0,0,0,0,0.310288942,0.237367632,0,0.103703186,0.136085829,0.212554412
LU21_164,250,0,0,0,0,0,0.370023089,0,0.629976911,0,0
LU21_36,250,0,0,0,0,0,0,0,1,0,0
LU21_14,250,0,0,0,0,0,0,0,1,0,0
LU21_32,250,0,0,0,0,0,0,0,1,0,0
LU21_126,250,0,0,0,0,0,0,0,1,0,0
LU21_122,250,0,0,0,0,0,0,0,1,0,0
LU21_56,250,0,0,0,0,0,0,0,1,0,0
LU21_57,250,0,0,0,0,0,0,0,1,0,0
LU21_09,250,0,0,0,0,0.462379317,0.020148741,0,0.459980636,0.057491305,0
LU21_98,250,0,0,0,0,0,0,0,0.83694697,0,0.16305303
LU21_119,250,0,0,0,0,0,0,0,1,0,0
LU21_52,250,0,0,0,0,0,0,0,1,0,0
LU21_59,250,0,0,0,0,0,0,0,0,0.971736875,0.028263125
LU21_68,250,0,0,0,0,0,0,0,0.034289101,0.759457322,0.206253576
LU21_109,250,0,0,0,0,0,0,0,1,0,0
LU21_93,250,0,0,0,0,0.19839111,0,0,0.781953262,0,0.019655629
LU21_114,250,0,0,0,0,0.173632778,0,0,0.278168121,0,0.548199101
LU21_105,250,0,0,0,0,0,0.431015069,0,0.070155227,0,0.498829704
LU21_100,250,0,0,0,0,0,0.205006455,0,0.233987551,0,0.561005994
LU21_74,250,0,0,0,0,0,0,0,0.650432406,0.349567594,0
LU21_78,250,0.150061247,0,0,0,0,0,0,0.327425843,0,0.52251291
LU21_153,250,0,0,0,0,0,0,0,1,0,0
LU21_06,250,0,0,0,0,0,1.03E-05,0,0.505118884,0.49487084,0
LU21_116,250,0.423816366,0,0,0,0,0,0,0,0.23217704,0.344006594
LU21_97,250,0.111715527,0,0,0,0,0.601065321,0,0.181413821,0.105805331,0
LU01_13,250,0,0,0,0.091306939,0,0,0,0,0.908693029,0
LU01_30,250,0,0,0,0.172275274,0.033345317,0,0,0.081297937,0.71308147,0
LU01_85,250,0,0,0,0,0.256381976,0,0,0.6060939,0.137524124,0
LU01_66,250,0,0,0,0.205140474,0,0,0,0.330670003,0,0.464189545
LU01_76,250,0,0,0,0.125545546,0,0.14018295,0,0.734271488,0,0
LU01_73,250,0,0,0,0.130906336,0,0,0,0.869093634,0,0
LU01_75,250,0,0,0,0.139490598,0.030038562,0,0,0.830470821,0,0
LU01_47,250,0,0,0,0.206153313,0,0.137390248,0,0,0.454461664,0.201994807
LU01_74,250,0,0,0,0.216385395,0,0.008143597,0,0.775471024,0,0
LU01_44,250,0.105311992,0,0,0.557095516,0.099858183,0.029170248,0,0.208454015,0.00011009,0
LU01_41,250,0.082954127,0,0,0.239051478,0,0,0,0.232408768,0.445585615,0
LU01_64,250,0,0,0,0,0.015613852,0.186952499,0,0.727398289,0,0.070035361
LU01_86,250,0,0,0,0,0,0,0,0.721120585,0,0.278879359
LU01_79,250,0,0,0,0,0,0.158641426,0,0.841358574,0,0
LU01_63,250,0,0,0,0,0,0,0,1,0,0
LU01_72,250,0,0,0,0,0,0,0,0.886500036,0.113499964,0
LU01_67,250,0,0,0,0,0,0.20032692,0,0.140691449,0.658981631,0
LU01_77,250,0,0,0,0.212368162,0,0,0,0.787631737,0,0
LU01_32,250,0,0,0.324028162,0.21742598,0,0.039176567,0,0.241951306,0.177417986,0
