"Site","BUFF_DIST","FEATURE_TYHARVEST.AREA","FEATURE_TYCROP","FEATURE_TYWELL.ABAND","FEATURE_TYWELL.OIL","FEATURE_TYTRAIL","FEATURE_TYHARVEST.AREA.WHITE.ZONE","FEATURE_TYCONVENTIONAL.SEISMIC","FEATURE_TYPIPELINE","FEATURE_TYTAME_PASTURE","FEATURE_TYROUGH_PASTURE","FEATURE_TYRURAL.RESIDENCE","FEATURE_TYTRANSMISSION.LINE","FEATURE_TYWELL.GAS","FEATURE_TYMISC.OIL.GAS.FACILITY","FEATURE_TYCLEARING.UNKNOWN","FEATURE_TYVEGETATED.EDGE.ROADS","FEATURE_TYROAD.UNIMPROVED","FEATURE_TYROAD.GRAVEL.1L","FEATURE_TYROAD.GRAVEL.2L","FEATURE_TYTRUCK.TRAIL","FEATURE_TYBORROWPITS","FEATURE_TYSUMP","FEATURE_TYBORROWPIT.WET","FEATURE_TYCULTIVATION_ABANDONED","FEATURE_TYURBAN.RESIDENCE","FEATURE_TYCOUNTRY.RESIDENCE","FEATURE_TYRECREATION","FEATURE_TYWELL.OTHER","FEATURE_TYWELL.BITUMEN","FEATURE_TYWELL.CASED","FEATURE_TYROAD.PAVED.UNDIV.2L","FEATURE_TYROAD.UNCLASSIFIED","FEATURE_TYRUNWAY","FEATURE_TYCLEARING.WELLPAD.UNCONFIRMED","FEATURE_TYFACILITY.UNKNOWN","FEATURE_TYBORROWPIT.DRY","FEATURE_TYGRVL.SAND.PIT","FEATURE_TYDUGOUT","FEATURE_TYLAGOON","FEATURE_TYOPEN.PIT.MINE","FEATURE_TYLOW.IMPACT.SEISMIC","FEATURE_TYSURROUNDING.VEG","FEATURE_TYTRANSFER_STATION","FEATURE_TYFACILITY.OTHER","FEATURE_TYVEGETATED.EDGE.RAILWAYS","FEATURE_TYFRUIT.VEGETABLES","FEATURE_TYRESIDENCE_CLEARING","FEATURE_TYCFO","FEATURE_TYLANDFILL","FEATURE_TYWELL_CLEARED_NOT_CONFIRMED","FEATURE_TYOIL.GAS.PLANT","FEATURE_TYURBAN.INDUSTRIAL","FEATURE_TYROAD.PAVED.1L","FEATURE_TYROAD.PAVED.UNDIV.1L","FEATURE_TYROAD.WINTER","FEATURE_TYWELL_CLEARED_NOT_DRILLED","FEATURE_TYWELL.UNKNOWN","FEATURE_TYAIRP.RUNWAY","FEATURE_TYRESERVOIR","FEATURE_TYCAMPGROUND","FEATURE_TYCANAL","FEATURE_TYCAMP.INDUSTRIAL","FEATURE_TYRLWY.SGL.TRACK"
"LU21_164","1000","0","0","0.0384615384615385","0","0.153846153846154","0","0.807692307692308","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_36","1000","0","0","0","0","0.255813953488372","0","0.674418604651163","0","0","0","0","0","0","0","0","0.0232558139534884","0","0.0232558139534884","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0232558139534884","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_14","1000","0","0","0","0","0.5","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_32","1000","0","0","0","0","0.461538461538462","0","0.461538461538462","0","0","0","0","0","0","0","0","0","0","0","0","0.0769230769230769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_126","1000","0","0","0","0","0.615384615384615","0","0.307692307692308","0","0","0","0","0","0","0","0","0","0","0","0","0.0769230769230769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_122","1000","0","0","0","0","0.3125","0","0.5625","0.0625","0","0","0","0.0625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_56","1000","0","0","0.125","0","0.5","0","0.25","0.125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_57","1000","0","0","0","0","0.166666666666667","0","0.583333333333333","0.166666666666667","0","0","0","0.0833333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_09","1000","0","0","0","0","0.523809523809524","0","0.476190476190476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_98","1000","0","0","0.0338345864661654","0.0037593984962406","0.0864661654135338","0","0.334586466165414","0.056390977443609","0","0","0","0","0","0","0.0112781954887218","0.308270676691729","0.0112781954887218","0.109022556390977","0","0.0112781954887218","0","0","0.0075187969924812","0","0","0","0","0","0","0.0037593984962406","0","0","0","0","0.0037593984962406","0.0112781954887218","0.0075187969924812","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_119","1000","0","0","0","0","0.0526315789473684","0","0.894736842105263","0.0526315789473684","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_52","1000","0","0","0.0506329113924051","0","0.0759493670886076","0","0.253164556962025","0.139240506329114","0","0","0","0","0","0","0","0.329113924050633","0","0.0506329113924051","0","0.10126582278481","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_59","1000","0.126984126984127","0","0","0","0.0317460317460317","0","0.761904761904762","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0793650793650794","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_68","1000","0","0","0.0178571428571429","0.0491071428571429","0.0848214285714286","0","0.227678571428571","0.116071428571429","0","0","0","0","0","0.0133928571428571","0.00892857142857143","0.316964285714286","0.03125","0.107142857142857","0","0.00446428571428571","0.00446428571428571","0.00446428571428571","0","0","0","0","0","0.00446428571428571","0","0","0","0","0","0","0","0","0","0","0","0","0.00892857142857143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_109","1000","0","0","0","0","0.114285714285714","0","0.885714285714286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_93","1000","0","0","0.0396825396825397","0.0158730158730159","0.0158730158730159","0","0.452380952380952","0.0952380952380952","0","0","0","0","0","0","0","0.277777777777778","0","0.0873015873015873","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0158730158730159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_114","1000","0","0","0","0.0374331550802139","0.0267379679144385","0","0.32620320855615","0.106951871657754","0","0","0","0","0","0","0.0160427807486631","0.310160427807487","0.0106951871657754","0.117647058823529","0","0","0.0053475935828877","0","0.0374331550802139","0","0","0","0","0","0","0","0","0","0","0","0","0.0053475935828877","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU21_105","1000","0","0","0.032967032967033","0.043956043956044","0.142857142857143","0","0.56043956043956","0.021978021978022","0","0","0","0","0","0","0","0.142857142857143","0.021978021978022","0.010989010989011","0","0","0.010989010989011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.010989010989011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
