"site","radius","holes","activewellsites","roads","verges","railways","mines","industrialsites","otherveg","transmissionlines","abandonedwellsites","pipeline","harvestareas","urbanruralres","cultivation","seismic"
"LU2_106",1000,0.131916674,0.244450501,1.478678877,3.778607518,0.650279683,0,0,0,0,0.289860812,1.259771837,0,1.669191363,16.781611189,0.515576458
"LU2_106",1250,0.08442446,0.156444223,1.079259645,2.818378365,0.521624733,0,0.023740222,0,0,0.309711969,2.081778973,0,1.185012143,18.001637833,0.415421259
"LU2_106",1500,0.058627051,0.221608578,0.836938174,2.225023694,0.434781043,0,0.1132938,0,0.563532567,0.358814637,2.158115307,0,0.822910419,15.602168795,0.492835581
"LU2_106",1750,0.043072412,0.162812485,0.671504308,1.829601903,0.373666617,0,0.083235249,0,0.813289068,0.263615711,2.278233276,0,0.604579893,13.826871252,0.685025753
"LU2_106",2000,0.032976992,0.124652086,0.561459807,1.555517532,0.328575127,0.101719056,0.082473532,0,0.942057296,0.333181996,2.225534168,0,0.462876939,13.745351592,0.85813778
"LU2_106",2250,0.026055704,0.098489815,0.519672432,1.411801704,0.294629985,0.080370023,0.065163795,0,0.927270598,0.315681807,2.208706891,0.436654346,0.376831282,13.055161987,0.908045248
"LU2_106",2500,0.030454981,0.136374095,0.572673001,1.402832318,0.265427645,0.065099336,0.085932786,0,0.881584147,0.304120601,2.191822632,1.180938703,0.404754476,11.347529838,0.975763617
"LU2_110",250,0,0,3.341342737,5.880206459,0,0,0,0,0,0,0,3.311134548,0,0,1.54857018
"LU2_110",500,0,0,1.881306504,3.489572322,0,0,0,0,0,0,0,13.65498243,0,0,2.286001858
"LU2_110",750,0,0,1.27811879,2.294529163,0,0,0,0,0,0,0,28.2808785,0,0,1.90736036
"LU2_110",1000,0,0,0.973403968,1.731497152,0,0,0,0,0,0,0,36.6184221,0,0,1.484437823
"LU2_110",1250,0,0,0.782776344,1.37643499,0,0,0,0,0,0,0,33.1934875,0,0,1.453646244
"LU2_110",1500,0,0,0.660835406,1.156227913,0,0,0,0,0,0,0,38.22242825,0,0,1.147417154
"LU2_110",1750,0,0,0.572071892,0.9942226,0,0,0,0,0,0,0,44.82553224,0,0,0.902108969
"LU2_110",2000,0,0,0.502710938,0.868151974,0,0,0,0,0,0,0,48.30514714,0,0,0.747588422
"LU2_110",2250,0,0,0.446914873,0.768215103,0,0,0,0,0,0,0,48.90598298,0,0,0.66756922
"LU2_110",2500,0,0,0.40157871,0.687957466,0,0,0,0,0,0.040707525,0,48.52655923,0,0,0.641488519
"LU2_119",250,0,0,2.450160296,1.234854986,0,0,0,0,0,0,0,19.1048341,0,0,1.009424782
"LU2_119",500,0,0,1.449651148,0.902024592,0,0,0,0,0,1.449144691,1.732524074,33.61104654,0,0,1.006561365
"LU2_119",750,0,0,1.791946385,1.590342686,0,0,0,0,0,1.096482927,2.323667094,30.81641917,0,0,1.018428812
