Model,cond((Int)),disp((Int)),cond(scale(harvest)),cond(scale(lc_developed)),cond(scale(lc_forest)),cond(scale(lc_grassland)),cond(scale(osm_industrial)),cond(scale(pipeline_transmission_lines)),cond(scale(seismic_lines_3D)),cond(scale(seismic_lines)),cond(scale(trails)),cond(scale(wells)),df,logLik,AICc,delta,weight,Dataset,species
1250 meter buffer,-1.38764307230905,+,0.04142304080532519,0.3791188923218089,-0.14536684040937703,-0.022652121944972115,0.2821015539448064,0.019431298610079674,-0.14059392113293506,0.27018787459085264,0.013302791459483713,0.09660288835083716,12,-463.71663356305993,952.8579246603664,7.295771366322924,0.0115722356423323,osm_final_df_2021_2022,coyote
1500 meter buffer,-1.3827266270680645,+,0.04067139082763664,0.34716069350211365,-0.14587464911160095,-0.03337642307562205,0.30358743829261475,0.031190790270692683,-0.12764212091954022,0.2595678680740407,0.03690687020126406,0.09859272559311695,12,-464.0413564230791,953.5073703804047,7.945217086361254,0.00836357435405397,osm_final_df_2021_2022,coyote
2250 meter buffer,-1.377759734521585,+,-0.01187306558618152,0.3432047124789117,-0.14905614594388153,-0.09285988792350248,0.30434123481962627,0.026152114408264378,-0.08821218761866088,0.2749065471138619,0.06001012656629838,0.09614334655443155,12,-464.4394581776912,954.303573889629,8.74142059558551,0.00561692373217035,osm_final_df_2021_2022,coyote
1750 meter buffer,-1.3791824374243198,+,0.026285665216815784,0.3454284335577158,-0.14163286603635042,-0.05343403690278488,0.3033371233264019,0.025384346742769664,-0.11131888238432429,0.25215827769258486,0.048221226850701925,0.09473482356875476,12,-464.7145806170644,954.8538187683754,9.291665474331921,0.00426593633468891,osm_final_df_2021_2022,coyote
2000 meter buffer,-1.3766316798857632,+,0.003103946294480247,0.34111867438440624,-0.13758636936674296,-0.07369858096686582,0.31091816332199396,0.010910954372647745,-0.09834766344052519,0.24978145811326774,0.04571074215549179,0.09525574906259912,12,-465.17180221535415,955.7682619649548,10.206108670911362,0.00270050852470374,osm_final_df_2021_2022,coyote
3000 meter buffer,-1.379773949934262,+,-0.02497484961601462,0.31053972765471066,-0.1719981165233418,-0.06097406030948397,0.33408901645544203,-0.034442014555859345,-0.050233975993659696,0.2206072654639266,0.0261341485099219,0.09630945268611195,12,-465.4910089856257,956.4066755054979,10.844522211454432,0.00196252778294211,osm_final_df_2021_2022,coyote
2500 meter buffer,-1.3787844520864863,+,-0.016181448287290713,0.33099934859849733,-0.15595279457812566,-0.07781236633381117,0.31351460685906557,-3.666941669315024e-4,-0.07148099733460483,0.26422551149118945,0.04629794356181124,0.09437106385218426,12,-465.5461134035475,956.5168843413416,10.954731047298083,0.001857309452482,osm_final_df_2021_2022,coyote
2750 meter buffer,-1.378748695350301,+,-0.021552915881618864,0.3161171338397638,-0.16233290128086958,-0.06087329934093191,0.3360738609763159,-0.030885594974231458,-0.058974568607511005,0.23225013272472583,0.027675663317424957,0.09051201396479637,12,-465.9488057290833,957.3222689924131,11.760115698369646,0.00124164434277643,osm_final_df_2021_2022,coyote
4000 meter buffer,-1.3815068197524583,+,-0.05952849179407987,0.3263632648467275,-0.18653092133121474,-0.1409127581016677,0.31777415226385025,0.04690775227633112,-0.061003721291830765,0.2270798575767648,-0.0020521740282159703,0.05943287271811634,12,-466.0326315827886,957.4899206998238,11.927767405780287,0.00114180544157651,osm_final_df_2021_2022,coyote
1000 meter buffer,-1.3912802849426704,+,0.04279980807100675,0.3792161375519923,-0.14302752306599978,-0.011126503646006555,0.27350069654754033,0.030185871511563232,-0.13165026522366272,0.25957443868146174,-6.606804543314167e-5,0.13733602977719553,12,-466.0660863652247,957.5568302646959,11.99467697065245,0.00110423848979294,osm_final_df_2021_2022,coyote
3250 meter buffer,-1.3796603226301498,+,-0.03148700159609912,0.31423539138815604,-0.17855225646296055,-0.07644408356667654,0.327730132313405,-0.013706462645266653,-0.048055386522514475,0.2130992378608599,0.014745034714776145,0.08004487327832539,12,-466.2720865161604,957.9688305665674,12.406677272523893,0.000898665671457434,osm_final_df_2021_2022,coyote
3500 meter buffer,-1.378673326387858,+,-0.04331589338735928,0.33146000320462665,-0.18435752470213732,-0.10744875506634571,0.30267314562885145,0.013530945196950118,-0.052703398773717706,0.22031642541509586,0.019386816474523706,0.08138491625065587,12,-466.7154458842467,958.85554930274,13.293396008696504,0.000576832372007471,osm_final_df_2021_2022,coyote
3750 meter buffer,-1.3794938509009167,+,-0.04972571781796085,0.33045385227738927,-0.19204167769512637,-0.1272819036179855,0.2960900065241275,0.034229146334317256,-0.05709709243857895,0.21994818985169343,0.014752223621659951,0.0787863030975354,12,-466.7894634385199,959.0035844112863,13.441431117242814,0.00053567849244555,osm_final_df_2021_2022,coyote
750 meter buffer,-1.3925327731796453,+,0.07342310797280688,0.3436510206361464,-0.11845747173136571,0.007329281990462642,0.28778055145681186,0.08755968731763264,-0.1341411810051293,0.25081187722465537,-0.03534228082404951,0.1914717377926826,12,-469.320429198653,964.0655159315526,18.5033626375091,4.26304332366138e-05,osm_final_df_2021_2022,coyote
500 meter buffer,-1.3901165896613101,+,0.03874836162257646,0.21729425507138664,-0.1126626084152407,0.02085451208980409,0.2931698343685022,0.06564883121836365,-0.12495868383544724,0.19283223640248912,-0.07749655395558289,0.20430702334601128,12,-485.6540228556766,996.7327032455997,51.17054995155627,3.43660922333947e-12,osm_final_df_2021_2022,coyote
250 meter buffer,-1.38606916815067,+,-0.05669995389585335,0.15316842061762598,-0.16366882457732673,-0.022135648280146584,0.21682760056285397,0.1311700564402196,-0.02725794824241658,0.15337721059380108,0.0349785475359766,0.030638539963926934,12,-503.90437509621165,1033.2334077266698,87.67125443262637,4.07476793987041e-20,osm_final_df_2021_2022,coyote
1000 meter buffer,-3.0997592792179884,+,-0.2427971685382327,0.5727364083864646,0.7061622068410492,0.21162467160363174,-0.020861053585978617,-0.5915789175304164,-0.3745712017527108,0.026173370636482837,0.09436321333396373,0.047438724393339723,12,-269.74956004655695,564.9237776273604,0,0.525677783201906,osm_final_df_2021_2022,fisher
750 meter buffer,-3.0787676134967605,+,-0.2584358533664681,0.5548374379425111,0.7433866350097026,0.22503536360311865,-0.05703127199944423,-0.4844852029323953,-0.3410204244295241,0.01612389748448596,0.06571759043102772,0.0688844367165355,12,-270.626983356606,566.6786242474585,1.7548466200980783,0.218604713018433,osm_final_df_2021_2022,fisher
500 meter buffer,-3.0634298510311893,+,-0.315014530663679,0.5009800401385951,0.6974368285680673,0.2636903446066497,-0.1952617420376658,-0.3401411381653159,-0.31992291683924784,-0.054988076888314544,0.06086033661342437,0.0949500287160753,12,-271.31866257861054,568.0619826914676,3.138205064107183,0.109462925664177,osm_final_df_2021_2022,fisher
2500 meter buffer,-3.0139592691812904,+,-0.13658586502347575,0.512510858543374,0.5430847849459742,-0.11199246007166305,0.03130499962333384,-0.49340159380732174,-0.16808311498426406,-0.08696345967758667,-0.017205280657511896,0.18732329334463768,12,-272.2355534295585,569.8957643933635,4.971986766003056,0.0437589018327278,osm_final_df_2021_2022,fisher
1250 meter buffer,-3.061498320424764,+,-0.2543493300750639,0.5113901913540041,0.6093210421381637,0.1592144876017899,-0.04401828201414011,-0.46457796759961417,-0.3740558703329065,-0.009887550345677135,0.06576766803631688,0.044060554925086315,12,-272.6818577420641,570.7883730183747,5.864595391014291,0.0280052152024839,osm_final_df_2021_2022,fisher
2750 meter buffer,-3.005513172257562,+,-0.1379150328691281,0.48773795513521884,0.5311596947369445,-0.16384456612395593,0.04690873297077797,-0.46067772068990936,-0.15064849262228844,-0.1201065617693816,-0.03511908546321462,0.217784683352785,12,-272.778026471476,570.9807104771985,6.056932849838063,0.0254374378676682,osm_final_df_2021_2022,fisher
2250 meter buffer,-3.026090610698842,+,-0.14850530607732848,0.5459942263502321,0.5793126090543056,-0.011387728919991963,0.037879489292839644,-0.5188281514335524,-0.19751010209940562,-0.0434885660388105,-0.025004158256306204,0.12024772575625481,12,-273.3664480605412,572.1575536553289,7.233776027968474,0.0141229400832859,osm_final_df_2021_2022,fisher
3000 meter buffer,-2.994055558458046,+,-0.14252885495293563,0.4720190709026693,0.4993426897612561,-0.21700795084535607,0.053226749597186714,-0.3992715248002738,-0.1325912587822473,-0.12094052115645293,-0.04621732469295117,0.22405348349861767,12,-273.6817374404251,572.7881324150967,7.864354787736261,0.0103037824059296,osm_final_df_2021_2022,fisher
3250 meter buffer,-2.98731432322101,+,-0.1566246459419075,0.4500998002394259,0.4830171197607554,-0.2414068179267799,0.0016887670334537273,-0.35166912144857754,-0.1280096140718756,-0.1117693307208447,-0.05149283602551188,0.2665703900421945,12,-273.89470799502357,573.2140735242937,8.29029589693323,0.00832731018527722,osm_final_df_2021_2022,fisher
2000 meter buffer,-3.029025495013224,+,-0.1699644845363735,0.5262477867700799,0.593537739706886,0.01940845474447223,0.027615191026237437,-0.4856637021608784,-0.23780942288066123,-0.055149542817837655,-0.02247159202346297,0.10881299609752564,12,-273.93429257995973,573.293242694166,8.36946506680556,0.00800411602239009,osm_final_df_2021_2022,fisher
3500 meter buffer,-2.9798091341370667,+,-0.18015615187063447,0.4491744379717132,0.4816302164917352,-0.21503001456342433,-0.055968602302370614,-0.32161402559490093,-0.1314973550908154,-0.08438545815201402,-0.005697267560165581,0.24999721950232925,12,-275.37990922212646,576.1844759784994,11.260698351139013,0.0018857757411329,osm_final_df_2021_2022,fisher
1500 meter buffer,-3.031834779083612,+,-0.2348053867072425,0.4637941491950049,0.5691422668680564,0.1092341399651227,-0.017429273838459717,-0.38683875292595754,-0.3431068467805633,-0.03310497095211974,0.0674887640478789,0.031122778004128045,12,-275.8137479433503,577.0521534209471,12.128375793586656,0.00122201428285303,osm_final_df_2021_2022,fisher
4250 meter buffer,-2.9791840250110977,+,-0.2075827670026801,0.4305838570852083,0.4670011045315418,-0.18053344912976044,-0.2185430814330189,-0.3576092467733271,-0.11934068668362698,-0.019150353090199225,0.009935864927647083,0.34950353411227963,12,-275.904491141663,577.2336398175726,12.30986219021213,0.00111600723896307,osm_final_df_2021_2022,fisher
1750 meter buffer,-3.024476010896709,+,-0.21220541650397107,0.45367400301006927,0.5800992296820303,0.055817885049417156,0.029346499707047984,-0.3844161252777283,-0.3046760778284135,-0.05883175985924416,0.05990679588973871,0.06251460861269474,12,-276.0899337827146,577.6045250996757,12.680747472315261,0.000927107930244989,osm_final_df_2021_2022,fisher
4500 meter buffer,-2.983538688144625,+,-0.22659386739271398,0.4128843418676022,0.47639593521530654,-0.15342957450662803,-0.26664580878783256,-0.36742815975017434,-0.11998825358262989,-0.007801533769785438,0.02868303574775354,0.376617180140174,12,-276.23609355345303,577.8968446411526,12.97306701379216,0.000801039466713167,osm_final_df_2021_2022,fisher
4000 meter buffer,-2.973866086551685,+,-0.19872314081271736,0.43238471049602273,0.4704532354311825,-0.16090702212628827,-0.1394730405649084,-0.36643986405334333,-0.1226651437481881,-0.024823164439599452,0.015423611694745624,0.3077333954640499,12,-276.30471278079995,578.0340830958464,13.11030546848599,0.000747916237916721,osm_final_df_2021_2022,fisher
3750 meter buffer,-2.9729948094936667,+,-0.1957554008084731,0.43234072108587107,0.4689906781114703,-0.17660125292486908,-0.10254244525273437,-0.32843735686185727,-0.13449309448924973,-0.055818892156671386,0.018250417240331863,0.27658547841400943,12,-276.3784507522217,578.1815590386899,13.25778141132946,0.000694750660196913,osm_final_df_2021_2022,fisher
4750 meter buffer,-2.9902131884918273,+,-0.25858553603964235,0.399015002751419,0.48275066071035233,-0.1292612937327667,-0.3254326453446755,-0.3376598167529092,-0.13957982124119836,0.006659563011347366,0.06716275570801014,0.37585967313407936,12,-276.5576006266111,578.5398587874687,13.616081160108251,0.000580798072320808,osm_final_df_2021_2022,fisher
5000 meter buffer,-2.9889753230114122,+,-0.28112624098031147,0.366646461127598,0.47371209638709955,-0.10186127892407307,-0.3271550807536523,-0.28537425448820924,-0.17125708556314814,-9.99882527563478e-5,0.08545725679266153,0.3359963130406575,12,-277.5639617601587,580.5525810545639,15.62880342720348,0.00021230884083192,osm_final_df_2021_2022,fisher
