site,black_bear,coyote,fisher,moose,snowshoe_hare,white-tailed_deer,cougar,grey_wolf,lynx,red_fox,wolverine,caribou,absent_black_bear,absent_coyote,absent_fisher,absent_moose,absent_snowshoe_hare,absent_white-tailed_deer,absent_cougar,absent_grey_wolf,absent_lynx,absent_red_fox,absent_wolverine
LU15_30,2,0,0,5,8,1,0,0,2,1,0,0,7,0,0,-5,-8,-1,0,0,-2,-1,0
LU15_31,0,1,0,1,8,1,0,0,3,0,0,0,9,-1,0,-1,-8,-1,0,0,-3,0,0
LU15_32,3,5,0,3,11,1,0,0,9,0,0,0,6,-5,0,-3,-11,-1,0,0,-9,0,0
LU15_34,0,1,0,4,3,1,0,2,1,0,0,1,9,0,1,-3,-2,0,1,-1,0,1,1
LU15_36,1,1,1,0,3,0,0,0,2,0,0,0,8,-1,-1,0,-3,0,0,0,-2,0,0
LU15_37,1,1,0,0,6,0,0,0,1,1,0,1,8,0,1,1,-5,1,1,1,0,0,1
LU15_40,0,0,1,6,4,1,0,1,5,0,0,2,9,2,1,-4,-2,1,2,1,-3,2,2
LU15_41,4,1,0,0,7,7,0,0,1,0,0,0,5,-1,0,0,-7,-7,0,0,-1,0,0
LU15_43,3,1,0,4,2,0,0,0,2,0,0,3,6,2,3,-1,1,3,3,3,1,3,3
LU15_44,1,5,1,0,12,0,0,1,3,0,0,0,8,-5,-1,0,-12,0,0,-1,-3,0,0
LU15_46,4,1,0,1,6,7,0,1,3,0,0,0,5,-1,0,-1,-6,-7,0,-1,-3,0,0
LU15_58,5,4,0,7,0,2,0,2,9,0,0,0,4,-4,0,-7,0,-2,0,-2,-9,0,0
LU15_61,6,2,1,2,9,5,0,0,6,0,0,0,3,-2,-1,-2,-9,-5,0,0,-6,0,0
LU21_06,6,0,1,1,8,3,0,1,4,0,0,0,4,0,-1,-1,-8,-3,0,-1,-4,0,0
LU21_09,7,3,0,6,0,9,1,3,1,0,0,0,2,-3,0,-6,0,-9,-1,-3,-1,0,0
LU21_10,1,0,1,6,0,7,0,2,0,1,0,0,8,0,-1,-6,0,-7,0,-2,0,-1,0
LU21_100,7,0,0,2,0,7,0,3,0,0,0,0,2,0,0,-2,0,-7,0,-3,0,0,0
LU21_105,0,1,0,3,0,6,0,0,1,0,0,0,10,-1,0,-3,0,-6,0,0,-1,0,0
LU21_106,6,1,0,2,6,8,0,1,1,0,0,0,3,-1,0,-2,-6,-8,0,-1,-1,0,0
LU21_107,7,1,0,2,3,7,0,1,1,0,0,1,2,0,1,-1,-2,-6,1,0,0,1,1
LU21_109,1,1,0,0,2,6,0,0,2,0,0,0,8,-1,0,0,-2,-6,0,0,-2,0,0
LU21_114,3,0,0,3,0,3,0,0,0,0,0,0,7,0,0,-3,0,-3,0,0,0,0,0
LU21_116,6,0,1,4,0,10,0,2,0,0,0,0,4,0,-1,-4,0,-10,0,-2,0,0,0
LU21_119,2,0,0,4,8,10,1,0,3,0,0,0,8,0,0,-4,-8,-10,-1,0,-3,0,0
LU21_122,4,0,1,2,2,4,0,3,1,0,0,0,5,0,-1,-2,-2,-4,0,-3,-1,0,0
LU21_126,3,0,0,4,1,1,0,2,0,0,0,5,6,5,5,1,4,4,5,3,5,5,5
LU21_14,5,0,2,4,2,8,0,2,2,0,0,0,4,0,-2,-4,-2,-8,0,-2,-2,0,0
LU21_153,0,1,0,0,3,0,0,0,1,0,0,0,10,-1,0,0,-3,0,0,0,-1,0,0
LU21_16,6,0,5,7,8,7,0,0,4,0,0,0,3,0,-5,-7,-8,-7,0,0,-4,0,0
LU21_164,7,3,0,2,0,8,0,0,0,3,0,0,2,-3,0,-2,0,-8,0,0,0,-3,0
