Model,cond((Int)),disp((Int)),cond(scale(lc_developed)),cond(scale(lc_forest)),cond(scale(lc_grassland)),df,logLik,AICc,delta,weight,Dataset,species
1750 meter buffer,-1.8524027055471017,+,0.05850044665106778,0.04881049894773753,0.011149529027654334,5,-454.2696191860227,918.804725097709,3.73810863980259,0.0318886231974306,osm_anthro_df_2021_2022,lynx
2750 meter buffer,-1.8542690383342162,+,0.01892343834637985,-0.01714772309775239,0.044975812218471835,5,-454.2948954631969,918.8552776520575,3.788661194151018,0.0310926988956534,osm_anthro_df_2021_2022,lynx
2000 meter buffer,-1.8522134309974925,+,0.059030975657115424,0.04247138727811222,0.0027475581045018475,5,-454.3382290439803,918.9419448136242,3.875328355717784,0.0297741166901423,osm_anthro_df_2021_2022,lynx
3500 meter buffer,-1.853871675666579,+,0.02250146197555719,-0.03715015807728332,0.023662900047653427,5,-454.3396240838392,918.9447348933421,3.878118435435681,0.0297326095693701,osm_anthro_df_2021_2022,lynx
3750 meter buffer,-1.8528655522238509,+,0.03749073086044968,-0.03574630852341557,-0.006762490992330624,5,-454.3770342642026,919.0195552540689,3.9529387961624707,0.0286408559572365,osm_anthro_df_2021_2022,lynx
4000 meter buffer,-1.852225889395006,+,0.03489236406035248,-0.03467492038497012,-0.025899559912117356,5,-454.39562558268847,919.0567378910406,3.9901214331341635,0.028113303822353,osm_anthro_df_2021_2022,lynx
4250 meter buffer,-1.851846536667227,+,0.0293434264393789,-0.031534345373796846,-0.035689014576239034,5,-454.4167030381864,919.0988928020365,4.032276344130082,0.0275269480635075,osm_anthro_df_2021_2022,lynx
2250 meter buffer,-1.8519936069789473,+,0.05816140505883336,0.023269464075304416,-0.006766035536985904,5,-454.4479593012603,919.1614053281843,4.094788870277853,0.0266798658083616,osm_anthro_df_2021_2022,lynx
2500 meter buffer,-1.8527006197916216,+,0.03872635528025731,-2.0944526074221859e-4,0.01442287771679242,5,-454.5261445930631,919.3177759117899,4.251159453883474,0.0246733545837556,osm_anthro_df_2021_2022,lynx
250 meter buffer,-1.824369898715009,+,-0.3890719954712492,-0.18941918760018242,-0.0845600171597253,5,-435.53898977401195,881.3434662736876,0,0.987644543222988,osm_anthro_df_2021_2022,moose
500 meter buffer,-1.811440078256729,+,-0.26517616835739505,-0.1252092689621714,0.012836268825335171,5,-441.17806248530326,892.6216116962702,11.278145422582611,0.00351222643255465,osm_anthro_df_2021_2022,moose
1250 meter buffer,-1.811622275544002,+,-0.2485490820005382,-0.13024125368907044,0.04598676162376541,5,-441.28004998713146,892.8255866999266,11.482120426239021,0.00317168390075196,osm_anthro_df_2021_2022,moose
1000 meter buffer,-1.809467099164514,+,-0.24500591850420278,-0.09729652945041116,0.01996424500111673,5,-441.8495792955389,893.9646453167414,12.621179043053871,0.00179451239252851,osm_anthro_df_2021_2022,moose
750 meter buffer,-1.8070436053055494,+,-0.22419410100197265,-0.056975902643490665,0.032593960561782945,5,-442.5540152041849,895.3735171340335,14.03005086034591,0.000887184271610179,osm_anthro_df_2021_2022,moose
1500 meter buffer,-1.8078707117732375,+,-0.20492712716301312,-0.1308807651084914,0.04111818281602135,5,-442.5726242681076,895.4107352618788,14.067268988191245,0.000870827269070891,osm_anthro_df_2021_2022,moose
1750 meter buffer,-1.8075097407582115,+,-0.20460226917629482,-0.12259480806316447,0.04850539764891183,5,-442.69910375630644,895.6636942382765,14.32022796458898,0.000767366218124679,osm_anthro_df_2021_2022,moose
2000 meter buffer,-1.8034244466334435,+,-0.17250345473928183,-0.09786606127203044,0.023709654343387752,5,-443.90159749623837,898.0686817181404,16.72521544445283,0.000230550612583889,osm_anthro_df_2021_2022,moose
2250 meter buffer,-1.8027667324932402,+,-0.1745121795630587,-0.089673848047211,0.012999834539284646,5,-443.94104813840084,898.1475830024654,16.804116728777785,0.000221632315772885,osm_anthro_df_2021_2022,moose
5000 meter buffer,-1.7948672627356062,+,-0.03135968065435767,0.022964440589889237,-0.15013838814325736,5,-444.26502679424857,898.7955403141608,17.452074040473235,0.000160299047512711,osm_anthro_df_2021_2022,moose
2500 meter buffer,-1.801510611197379,+,-0.16473681444116536,-0.0705255139141933,0.020287162567342695,5,-444.2934624587959,898.8524116432554,17.50894536956787,0.000155805035492098,osm_anthro_df_2021_2022,moose
2750 meter buffer,-1.800720415602508,+,-0.15117919589558884,-0.05412138069577085,0.03706221827516166,5,-444.68617836263996,899.6378434509436,18.294377177256024,0.00010520276143087,osm_anthro_df_2021_2022,moose
